id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	6623	J Kean	3	2 Adults, 1 Juvenile	Unknown	1998	4	23		Family group	South Africa	KwaZulu-Natal	Unknown		-29.23833	29.97361	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6624	Unknown	4	2 Adults, 2 Juveniles	Unknown	1998	6	26		Family group	South Africa	Eastern Cape	Unknown		-30.32361	29.17500	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6625	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	5	1		Family group	South Africa	KwaZulu-Natal	Unknown		-29.28194	30.24167	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6626	Unknown	4	2 Adults, 2 Juveniles	Unknown	1998	6	26		Family group	South Africa	Eastern Cape	Unknown		-30.36667	29.16111	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6627	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	7	13		Family group	South Africa	KwaZulu-Natal	Unknown		-29.95278	29.34444	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6628	Unknown	4	2 Adults, 2 Juveniles	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.26250	29.42778	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6629	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.49861	29.47778	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6630	Unknown	5	2 Adults, 3 Juveniles	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.39722	29.56222	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6631	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	7	13		Family group	South Africa	KwaZulu-Natal	Unknown		-30.16028	29.29583	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6632	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.26250	29.42917	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6633	Unknown	5	2 Adults, 3 Juveniles	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.26472	29.23139	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6634	Unknown	4	2 Adults, 2 Juveniles	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.27528	29.43139	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6635	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	6	26		Family group	South Africa	Eastern Cape	Unknown		-30.35833	29.13194	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6636	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.32750	29.46528	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6637	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	7	13		Family group	South Africa	KwaZulu-Natal	Unknown		-29.73111	29.54861	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
