id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	49	Handre Viljoen	202	Adult	Feeding	2005	6	6	Co-ordinates not accurate, as he saw these throughout the farm		South Africa	Northern Cape	Unknown		-3.139.444	2.418.472	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	50	Handre Viljoen	284	Adult	Feeding	2005	7	1	Co-ordinates not accurate, as he saw these throughout the farm		South Africa	Northern Cape	Unknown		-3.139.444	2.418.472	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	51	Handre Viljoen	378	Adult	Feeding	2005	8	2	Co-ordinates not accurate, as he saw these throughout the farm		South Africa	Northern Cape	Unknown		-3.139.444	2.418.472	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	52	Brent Coverdale	2	Adult	Feeding	2005	8	3	Could possibly have chick but unable to say for certain	Pair	South Africa	KwaZulu-Natal	Unknown		-2.932.639	3.000.972	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	53	Bradley Gibbons	4	Adult	Feeding	2005	8	25	"Couldn't see other leg of the ringed crane; a red ring was seen"		South Africa	Eastern Cape	Unknown		-3.188.139	2.509.722	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	54	Bradley Gibbons + Harry	35	Adult	Unknown	2005	9	7	Couple were dancing		South Africa	Free State	Unknown		-3.046.833	2.579.861	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	56	Bradley Gibbons + Harry	5	Adult	Unknown	2005	9	7	Dam was dry		South Africa	Free State	Unknown		-3.056.833	2.577.250	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	57	Bradley Gibbons + Harry	2	Adult	Unknown	2005	9	7	Dam was dry		South Africa	Free State	Unknown		-3.057.722	2.577.361	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	58	Bradley Gibbons	8	Adult	Unknown	2005	9	8	Dry dam		South Africa	Eastern Cape	Unknown		-3.153.778	2.454.333	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	59	Gavin Shaw	4	2 Adults, 2 Juveniles	Feeding	2005	6	23	"F2; Two chicks standing with adults"		South Africa	Mpumalanga	Unknown		-2.528.667	3.015.056	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
